Époque [1/20], Perte : 0.2756
Époque [2/20], Perte : 0.2138
Époque [3/20], Perte : 0.2124
Époque [4/20], Perte : 0.2117
Époque [5/20], Perte : 0.2108
Époque [6/20], Perte : 0.2132
Époque [7/20], Perte : 0.2112
Époque [8/20], Perte : 0.2108
Époque [9/20], Perte : 0.2127
Époque [10/20], Perte : 0.2112
Époque [11/20], Perte : 0.2103
Époque [12/20], Perte : 0.2107
Époque [13/20], Perte : 0.2113
Époque [14/20], Perte : 0.2110
Époque [15/20], Perte : 0.2107
Époque [16/20], Perte : 0.2095
Époque [17/20], Perte : 0.2088
Époque [18/20], Perte : 0.2094
Époque [19/20], Perte : 0.2077
Époque [20/20], Perte : 0.2080
Précision sur l'ensemble de test : 0.96
